timestamp,model_details,level_index,turns,income_per_turn,money_in_bank,unit_strength,unit_count,defense_strength,tower_count
2026-07-11T13:11:32,average,0,83,116,4,13,10,20,10
2026-07-11T13:11:32,hard,1,43,129,36,13,12,6,3
2026-07-11T13:11:33,hard,2,43,129,36,13,12,6,3
2026-07-11T13:11:36,hard,3,77,186,58,33,17,28,14
2026-07-11T13:11:40,average,4,98,212,108,36,28,40,20
2026-07-11T13:11:48,average,7,122,300,171,37,29,64,32
2026-07-11T13:11:49,hard,8,135,104,46,16,9,18,9
2026-07-11T13:11:50,hard,9,151,124,85,14,11,18,9
2026-07-11T13:11:51,balancer,10,122,96,62,14,10,18,9
2026-07-11T13:11:54,hard,11,90,260,84,42,24,38,19
2026-07-11T13:12:04,hard,12,140,252,27,46,24,42,21
2026-07-11T13:12:18,hard,13,126,242,66,43,21,58,29
2026-07-11T13:12:22,balancer,14,398,96,4,18,11,35,17
2026-07-11T13:12:23,balancer,15,165,129,13,23,14,18,8
2026-07-11T13:12:27,hard,16,152,207,14,37,15,36,18
2026-07-11T13:12:30,balancer,17,165,264,62,44,22,42,21
2026-07-11T13:12:37,hard,18,227,273,53,50,24,50,25
2026-07-11T13:12:42,hard,19,217,245,56,48,23,44,22
2026-07-11T13:12:48,hard,20,65,348,50,59,27,68,34
2026-07-11T13:14:07,hard,20,65,348,50,59,27,68,34
2026-07-11T13:14:13,hard,21,185,176,13,33,17,34,17
2026-07-11T13:14:17,balancer,22,158,181,74,22,12,29,13
2026-07-11T13:14:20,balancer,23,207,185,15,31,19,42,20
2026-07-11T13:14:21,hard,24,47,227,157,22,18,32,16
2026-07-11T13:14:25,balancer,25,90,281,62,41,23,38,19
2026-07-11T13:14:26,balancer,26,100,208,64,35,17,24,12
2026-07-11T13:14:31,hard,27,71,262,88,37,17,36,18
2026-07-11T13:27:04,hard,28,102,245,30,46,19,24,12
2026-07-11T13:27:07,hard,29,172,237,130,27,12,34,17
2026-07-11T13:27:16,balancer,30,107,360,92,61,32,55,26
2026-07-11T13:49:57,expert,31,169,277,27,41,17,24,10
2026-07-11T13:50:03,balancer,32,158,260,48,28,16,47,21
2026-07-11T13:50:31,expert,34,790,230,35,23,9,62,25
2026-07-11T13:52:45,expert,35,1781,358,93,29,14,100,38
