level_index,difficulty,result,turn_count
0,average,win,83
0,hard,win,86
0,expert,win,86
0,balancer,win,86
1,average,win,55
1,hard,win,43
1,expert,win,43
1,balancer,win,43
2,average,win,29
2,hard,win,62
2,expert,win,62
2,balancer,win,62
3,average,other,0
3,hard,win,77
3,expert,win,128
3,balancer,win,125
4,average,win,95
4,hard,win,104
4,expert,win,98
4,balancer,win,98
5,average,loss,-1
5,hard,loss,-1
5,expert,loss,-1
5,balancer,loss,-1
6,average,loss,-1
6,hard,loss,-1
6,expert,loss,-1
6,balancer,loss,-1
7,average,win,134
7,hard,win,126
7,expert,win,138
7,balancer,win,138
8,average,other,0
8,hard,win,135
8,expert,win,155
8,balancer,win,135
9,average,win,182
9,hard,win,151
9,expert,win,157
9,balancer,win,157
10,average,win,138
10,hard,win,130
10,expert,win,126
10,balancer,win,126
11,average,other,0
11,hard,win,90
11,expert,win,138
11,balancer,win,142
12,average,other,0
12,hard,win,140
12,expert,win,221
12,balancer,win,184
13,average,other,0
13,hard,win,146
13,expert,win,198
13,balancer,win,190
14,average,other,0
14,hard,win,497
14,expert,win,722
14,balancer,win,398
15,average,other,0
15,hard,win,202
15,expert,win,185
15,balancer,win,165
16,average,other,0
16,hard,win,152
16,expert,win,277
16,balancer,win,183
17,average,other,0
17,hard,win,180
17,expert,win,175
17,balancer,win,165
18,average,other,0
18,hard,win,217
18,expert,win,308
18,balancer,win,262
19,average,other,0
19,hard,win,217
19,expert,win,427
19,balancer,win,329
20,average,other,0
20,hard,win,77
20,expert,win,77
20,balancer,win,80
21,average,other,0
21,hard,win,186
21,expert,win,250
21,balancer,win,225
22,average,other,0
22,hard,win,192
22,expert,win,327
22,balancer,win,158
23,average,other,0
23,hard,win,225
23,expert,win,232
23,balancer,win,207
24,average,win,47
24,hard,win,47
24,expert,win,52
24,balancer,win,52
25,average,loss,-1
25,hard,win,102
25,expert,win,94
25,balancer,win,90
26,average,loss,-1
26,hard,win,109
26,expert,win,109
26,balancer,win,100
27,average,loss,-1
27,hard,win,95
27,expert,win,107
27,balancer,win,92
28,average,loss,-1
28,hard,win,102
28,expert,win,203
28,balancer,win,1064
29,average,loss,-1
29,hard,win,217
29,expert,win,374
29,balancer,win,252
30,average,loss,-1
30,hard,win,139
30,expert,win,122
30,balancer,win,107
31,average,loss,-1
31,hard,loss,-1
31,expert,win,169
31,balancer,win,140
